return_id,item_id,reason,return_date
295,72944,Damaged,2023-12-17
296,20310,Damaged,2021-06-25
297,88023,Customer changed mind,2023-05-17
298,23914,Wrong item,2022-01-27
299,40485,Damaged,2023-07-23
300,20308,Damaged,2022-06-08
301,56613,Wrong item,2021-05-07
302,9115,Customer changed mind,2022-07-09
303,20929,Wrong item,2021-05-13
304,36284,Customer changed mind,2022-01-04
305,23300,Damaged,2022-04-27
306,80989,Wrong item,2022-06-23
307,91785,Wrong item,2023-04-16
308,24093,Customer changed mind,2020-12-16
309,50791,Wrong item,2022-01-13
310,66128,Damaged,2072-07-24
311,27787,Customer changed mind,2022-09-07
312,14514,Damaged,2021-10-14
313,49643,Wrong item,2022-02-24
314,77593,Customer changed mind,2021-01-28
315,25541,Wrong item,2020-08-04
316,32083,Customer changed mind,2023-01-02
317,21912,Damaged,2056-02-01
318,25978,Damaged,2023-12-21
319,61561,Wrong item,2022-07-22
320,59354,Damaged,2022-07-03
321,69840,Customer changed mind,2021-06-30
322,91799,Wrong item,2020-03-20
323,34812,Damaged,2020-05-25
324,69311,Wrong item,2021-01-18
325,84250,Customer changed mind,2020-05-07
326,8433,Customer changed mind,2022-08-02
327,55489,Damaged,2020-05-12
328,52562,Customer changed mind,2022-12-30
329,30946,Damaged,2022-01-24
330,36777,Damaged,2083-03-06
331,63074,Customer changed mind,2022-08-12
332,24064,Wrong item,2020-11-16
333,41525,Damaged,2023-07-04
334,82932,Damaged,2020-12-21
335,17178,Customer changed mind,2023-06-22
336,64983,Wrong item,2023-01-11
337,22434,Wrong item,2020-10-08
338,33350,Customer changed mind,2022-02-27
339,48547,Wrong item,2021-05-09
340,99776,Customer changed mind,2023-07-09
341,54635,Wrong item,2021-05-16
342,8767,Wrong item,2020-02-24
343,16388,Customer changed mind,2022-12-23
344,53961,Customer changed mind,2021-04-23
345,68182,Wrong item,2023-02-07
346,641,Customer changed mind,2021-01-22
347,41265,Customer changed mind,2022-12-03
348,8123,Damaged,2023-09-07
349,23840,Damaged,2020-08-02
350,41147,Wrong item,2020-11-17
351,83396,Wrong item,2022-02-06
352,12958,Customer changed mind,2023-05-28
353,9179,Customer changed mind,2020-10-19
354,87369,Damaged,2021-05-19
355,49941,Damaged,2023-07-26
356,58510,Wrong item,2023-08-01
357,23501,Wrong item,2077-04-22
358,64262,Wrong item,2023-06-05
359,70854,Wrong item,2022-11-30
360,51238,Wrong item,2021-02-08
361,88040,Damaged,2022-09-15
362,87120,Wrong item,2020-06-08
363,4938,Damaged,2021-08-30
364,36726,Wrong item,2023-09-26
365,42208,Customer changed mind,2022-03-21
366,37757,Wrong item,2021-11-01
367,18501,Damaged,2023-04-17
368,11352,Damaged,2023-01-05
369,18781,Damaged,2021-02-04
370,19329,Customer changed mind,2020-11-26
371,60467,Customer changed mind,2020-10-26
372,65665,Customer changed mind,2023-09-15
373,24680,Damaged,2021-03-08
374,34214,Customer changed mind,2023-07-26
375,8853,Damaged,2021-11-26
376,37404,Damaged,2022-07-13
377,7917,Damaged,2023-02-16
378,12343,Wrong item,2021-07-20
379,78228,Wrong item,2054-10-14
380,26408,Wrong item,2020-03-20
381,33479,Customer changed mind,2023-07-11
382,46852,Customer changed mind,2022-03-30
383,63385,Customer changed mind,2080-00-01
384,23115,Customer changed mind,2020-02-11
385,59917,Customer changed mind,2023-03-07
386,56103,Damaged,2022-10-30
387,47530,Customer changed mind,2022-10-13
388,14983,Wrong item,2022-01-16
389,45436,Damaged,2020-05-22
390,38519,Customer changed mind,2021-05-25
391,18854,Customer changed mind,2021-06-16
392,60134,Damaged,2023-02-01
393,42769,Wrong item,2021-06-06
394,20099,Damaged,2021-01-15
395,19488,Customer changed mind,2020-03-14
396,22290,Customer changed mind,2021-11-20
397,13704,Customer changed mind,2023-04-17
398,36210,Customer changed mind,2097-06-17
399,81252,Customer changed mind,2081-08-19
400,56482,Damaged,2023-05-23
401,85409,Wrong item,2092-09-22
402,94276,Wrong item,2020-07-10
403,68677,Customer changed mind,2022-09-19
404,50482,Damaged,2022-10-20
405,79921,Wrong item,2022-11-29
406,26008,Customer changed mind,2022-02-10
407,81686,Wrong item,2022-11-19
408,103,Damaged,2021-12-28
409,97732,Wrong item,2023-02-23
410,33808,Customer changed mind,2065-09-15
411,11305,Damaged,2021-09-18
412,11104,Wrong item,2022-08-19
413,26749,Wrong item,2023-04-19
414,98861,Customer changed mind,2022-05-23
415,74857,Damaged,2020-09-27
416,39011,Customer changed mind,2023-02-11
417,31818,Wrong item,2020-05-19
418,72006,Wrong item,2075-07-14
419,27600,Damaged,2022-06-09
420,70544,Wrong item,2022-03-26
421,14699,Customer changed mind,2020-05-13
422,69968,Damaged,2021-04-15
423,84671,Wrong item,2022-07-15
424,77561,Customer changed mind,2022-11-06
425,62118,Damaged,2020-09-18
426,92246,Wrong item,2020-05-17
427,33079,Damaged,2021-04-30
428,20299,Wrong item,2021-10-08
429,17461,Wrong item,2023-10-15
430,16236,Damaged,2049-00-10
431,84726,Customer changed mind,2083-09-15
432,78530,Customer changed mind,2023-10-04
433,85853,Damaged,2022-11-28
434,99349,Damaged,2021-03-11
435,37228,Damaged,2022-06-24
436,47990,Customer changed mind,2022-06-02
437,26962,Wrong item,2023-07-15
438,95698,Damaged,2023-03-28
439,5967,Damaged,2022-12-10
440,73871,Wrong item,2038-00-15
441,33930,Damaged,2022-08-04
442,27887,Wrong item,2020-10-18
443,857,Wrong item,2020-02-06
444,39719,Customer changed mind,2021-11-26
445,97872,Damaged,2023-10-26
446,36996,Customer changed mind,2023-09-03
447,46227,Damaged,2022-09-03
448,99116,Damaged,2021-05-23
449,87647,Customer changed mind,2020-03-08
450,93766,Customer changed mind,2021-12-25
451,96804,Wrong item,2023-01-25
452,10186,Customer changed mind,2021-12-02
453,52007,Damaged,2021-07-20
454,56146,Wrong item,2021-01-18
455,74800,Damaged,2021-03-31
456,34986,Damaged,2021-11-19
457,8148,Customer changed mind,2021-11-24
458,77157,Damaged,2022-05-18
459,23586,Customer changed mind,2023-05-26
460,44898,Damaged,2021-10-30
461,13714,Damaged,2022-03-05
462,34689,Wrong item,2020-08-27
463,12179,Damaged,2021-01-06
464,23268,Wrong item,2020-10-16
465,37470,Customer changed mind,2022-03-09
466,70294,Wrong item,2022-06-02
467,53944,Customer changed mind,2021-03-26
468,46236,Damaged,2023-10-20
469,18608,Customer changed mind,2023-02-27
470,54835,Damaged,2022-05-11
471,18761,Customer changed mind,2020-12-12
472,35221,Customer changed mind,2021-03-23
473,53705,Damaged,2022-02-12
474,90964,Customer changed mind,2022-03-12
475,70555,Customer changed mind,2022-04-06
476,50739,Customer changed mind,2023-11-16
477,36713,Damaged,2020-09-16
478,71624,Damaged,2022-12-10
479,84853,Damaged,2022-09-16
480,69339,Damaged,2020-12-16
481,64047,Wrong item,2020-10-05
482,78456,Damaged,2021-03-29
483,31449,Customer changed mind,2021-08-11
484,50974,Customer changed mind,2032-09-04
485,83570,Wrong item,2022-06-18
486,76448,Damaged,2020-12-31
487,17795,Damaged,2020-06-10
488,92408,Customer changed mind,2020-03-31
489,61952,Customer changed mind,2022-08-04
490,25167,Wrong item,2020-09-29
491,36115,Customer changed mind,2023-05-27
492,1357,Customer changed mind,2039-03-15
493,14647,Damaged,2021-06-15
494,24256,Damaged,2022-06-05
495,44506,Wrong item,2022-03-14
496,21690,Customer changed mind,2021-06-12
497,32234,Customer changed mind,2023-01-12
498,52716,Customer changed mind,2023-03-24
499,97790,Wrong item,2023-11-20
500,77616,Customer changed mind,2096-07-03
501,97654,Damaged,2022-09-03
502,81580,Wrong item,2023-03-02
503,39019,Damaged,2023-06-09
504,83424,Customer changed mind,2023-06-03
505,65350,Customer changed mind,2023-05-02
506,76066,Customer changed mind,2022-04-26
507,30267,Damaged,2023-10-01
508,45340,Wrong item,2021-11-27
509,17349,Damaged,2021-08-26
510,18457,Customer changed mind,2022-04-18
511,19104,Wrong item,2022-10-01
512,23328,Customer changed mind,2055-01-09
513,67850,Wrong item,2020-06-05
514,74749,Damaged,2020-04-20
515,45602,Wrong item,2021-12-10
516,39542,Wrong item,2020-06-02
517,94978,Wrong item,2020-02-09
518,45464,Damaged,2021-07-15
519,94593,Customer changed mind,2023-02-17
520,20822,Customer changed mind,2020-08-10
521,95241,Customer changed mind,2022-08-14
522,84600,Customer changed mind,2020-11-18
523,5231,Damaged,2053-03-25
524,81820,Wrong item,2020-09-03
525,88892,Damaged,2022-06-11
526,552,Damaged,2020-08-01
527,33221,Customer changed mind,2020-09-22
528,25746,Customer changed mind,2020-10-01
529,18150,Damaged,2022-05-18
530,7997,Wrong item,2023-01-25
531,97586,Wrong item,2020-07-15
532,32630,Wrong item,2023-07-16
533,87149,Damaged,2021-04-22
534,54506,Customer changed mind,2020-04-11
535,10268,Damaged,2021-10-05
536,7668,Damaged,2023-02-02
537,27682,Wrong item,2023-01-09
538,41262,Customer changed mind,2023-08-05
539,20721,Customer changed mind,2020-07-14
540,8609,Customer changed mind,2022-02-06
541,72944,Wrong item,2021-08-26
542,88565,Damaged,2021-01-21
543,9794,Wrong item,2021-06-06
544,65914,Damaged,2023-11-19
545,86518,Wrong item,2022-10-22
546,17430,Damaged,2022-07-16
547,48936,Wrong item,2022-09-18
548,23981,Customer changed mind,2022-03-28
549,67072,Customer changed mind,2022-07-03
550,25819,Customer changed mind,2023-12-08
551,95312,Damaged,2023-08-17
552,99698,Wrong item,2020-02-26
553,25619,Damaged,2023-07-10
554,42811,Damaged,2021-04-03
555,57333,Wrong item,2022-10-14
556,70294,Customer changed mind,2021-06-05
557,8922,Wrong item,2022-09-19
558,43002,Wrong item,2020-08-30
559,99758,Damaged,2021-07-02
560,47097,Wrong item,2020-01-14
561,80630,Customer changed mind,2022-03-20
562,25165,Damaged,2022-01-19
563,45739,Customer changed mind,2020-01-09
564,13539,Customer changed mind,2020-01-09
565,12113,Damaged,2097-09-08
566,94754,Damaged,2020-06-18
567,92353,Customer changed mind,2021-11-30
568,34940,Customer changed mind,2020-08-04
569,73196,Wrong item,2020-08-19
570,57063,Wrong item,2021-08-20
571,54831,Wrong item,2020-03-21
572,74981,Damaged,2032-06-23
573,5090,Damaged,2023-09-23
574,73936,Wrong item,2020-02-26
575,11020,Wrong item,2072-06-04
576,45372,Customer changed mind,2020-12-29
577,53211,Customer changed mind,2021-09-01
578,20940,Damaged,2021-03-22
579,82852,Damaged,2023-08-24
580,74460,Damaged,2021-11-30
581,29498,Customer changed mind,2020-05-22
582,68244,Damaged,2083-07-04
583,41966,Customer changed mind,2023-08-09
584,66569,Customer changed mind,2023-09-06
585,52394,Damaged,2021-11-25
586,41089,Customer changed mind,2021-01-17
587,63735,Wrong item,2021-04-09
588,89774,Customer changed mind,2048-06-10
589,48506,Customer changed mind,2020-05-08
590,93362,Wrong item,2021-06-19
591,95675,Customer changed mind,2022-07-02
592,91328,Wrong item,2098-09-25
593,14912,Customer changed mind,2020-02-26
594,77684,Damaged,2020-03-19
595,39300,Damaged,2023-11-11
596,98824,Customer changed mind,2023-06-06
597,99284,Damaged,2020-06-09
598,89967,Damaged,2020-10-18
599,19325,Wrong item,2021-04-24
600,74356,Wrong item,2021-12-15
601,93682,Wrong item,2022-05-02
602,91829,Wrong item,2023-01-24
603,5824,Wrong item,2021-08-09
604,92112,Wrong item,2020-04-10
605,68093,Damaged,2022-09-23
606,87164,Damaged,2023-06-06
607,52967,Damaged,2023-01-19
608,30238,Customer changed mind,2023-06-27
609,5904,Wrong item,2021-11-14
610,52478,Damaged,2022-09-24
611,30679,Customer changed mind,2023-02-14
612,91293,Damaged,2023-01-24
613,97731,Damaged,2022-12-19
614,68247,Damaged,2020-09-02
615,24918,Damaged,2023-11-05
616,12371,Wrong item,2021-06-17
617,60872,Damaged,2023-01-06
618,15735,Customer changed mind,2059-04-21
619,43220,Customer changed mind,2021-02-04
620,83239,Damaged,2022-11-18
621,30999,Customer changed mind,2021-09-17
622,44229,Customer changed mind,2020-12-02
623,68764,Wrong item,2023-05-17
624,91539,Customer changed mind,2033-10-06
625,7898,Damaged,2021-02-09
626,36605,Wrong item,2022-11-05
627,99717,Wrong item,2020-02-08
628,10154,Customer changed mind,2023-06-06
629,47987,Customer changed mind,2022-10-23
630,23339,Wrong item,2021-10-31
631,240,Wrong item,2043-08-17
632,94429,Damaged,2020-11-23
633,93146,Customer changed mind,2022-05-07
634,70141,Wrong item,2070-03-22
635,20585,Damaged,2020-12-02
636,3286,Wrong item,2023-02-20
637,72729,Wrong item,2022-11-03
638,60783,Damaged,2022-04-02
639,53361,Wrong item,2022-05-27
640,38018,Customer changed mind,2022-07-12
641,83158,Wrong item,2021-11-06
642,66369,Customer changed mind,2020-09-26
643,29154,Wrong item,2022-10-23
644,75489,Damaged,2021-11-03
645,78578,Wrong item,2068-03-05
646,66760,Customer changed mind,2020-09-04
647,74739,Damaged,2020-07-02
648,33856,Customer changed mind,2067-07-06
649,18106,Damaged,2021-10-25
650,21292,Damaged,2085-03-05
651,61652,Wrong item,2021-02-24
652,89105,Customer changed mind,2022-08-17
653,64033,Customer changed mind,2023-09-04
654,92128,Damaged,2021-09-20
655,15762,Customer changed mind,2021-08-06
656,61841,Wrong item,2059-05-22
657,32108,Customer changed mind,2023-12-09
658,47250,Customer changed mind,2020-09-11
659,99623,Wrong item,2023-03-28
660,92502,Damaged,2021-01-20
661,36768,Damaged,2080-10-24
662,51177,Customer changed mind,2023-11-27
663,9779,Customer changed mind,2037-04-03
664,25246,Wrong item,2020-07-11
665,96599,Damaged,2021-02-19
666,21975,Damaged,2021-09-10
667,29075,Damaged,2088-01-21
668,22180,Customer changed mind,2022-05-14
669,61380,Customer changed mind,2020-05-16
670,8546,Customer changed mind,2023-09-16
671,77802,Wrong item,2021-04-18
672,38016,Customer changed mind,2023-08-04
673,17245,Damaged,2023-08-23
674,47108,Wrong item,2023-05-09
675,38648,Damaged,2022-10-18
676,68368,Wrong item,2022-10-10
677,52313,Customer changed mind,2022-09-09
678,20532,Customer changed mind,2021-09-13
679,15153,Wrong item,2022-01-08
680,96142,Wrong item,2064-09-04
681,55753,Customer changed mind,2023-07-29
682,95333,Wrong item,2021-01-17
683,53335,Damaged,2020-06-26
684,47159,Customer changed mind,2023-03-06
685,9385,Wrong item,2063-03-12
686,88489,Customer changed mind,2020-05-10
687,66129,Customer changed mind,2023-01-26
688,6328,Damaged,2069-00-10
689,7596,Customer changed mind,2023-10-14
690,31289,Customer changed mind,2083-09-05
691,58871,Damaged,2023-01-06
692,47262,Damaged,2021-09-28
693,81006,Customer changed mind,2022-02-02
694,23417,Customer changed mind,2020-01-17
695,90138,Wrong item,2023-02-25
696,45082,Damaged,2021-01-10
697,30081,Damaged,2022-12-30
698,30108,Wrong item,2020-03-19
699,62296,Wrong item,2020-07-13
700,30500,Customer changed mind,2020-12-17
701,13274,Damaged,2020-04-17
702,7278,Wrong item,2021-10-19
703,32579,Wrong item,2022-07-28
704,5548,Damaged,2022-11-30
705,21,Wrong item,2077-06-12
706,721,Damaged,2022-07-26
707,57794,Customer changed mind,2022-01-05
708,62106,Wrong item,2021-04-12
709,72278,Wrong item,2023-05-06
710,12953,Wrong item,2020-11-22
711,14767,Wrong item,2020-11-06
712,95365,Damaged,2021-11-06
713,43385,Customer changed mind,2021-07-08
714,51690,Damaged,2089-09-12
715,26034,Wrong item,2021-05-24
716,88311,Damaged,2023-09-03
717,72960,Customer changed mind,2020-04-13
718,84792,Damaged,2023-01-21
719,18908,Wrong item,2020-07-09
720,24523,Wrong item,2021-01-25
721,34089,Damaged,2022-06-26
722,59699,Customer changed mind,2022-10-27
723,12225,Customer changed mind,2020-06-25
724,35634,Damaged,2079-03-19
725,26875,Damaged,2061-01-19
726,65905,Wrong item,2021-04-10
727,86113,Customer changed mind,2022-09-30
728,86357,Wrong item,2022-01-09
729,58083,Wrong item,2020-06-13
730,89444,Damaged,2020-03-17
731,78260,Damaged,2095-10-21
732,8827,Damaged,2023-03-30
733,88708,Customer changed mind,2021-09-25
734,84351,Damaged,2052-01-11
735,46357,Wrong item,2020-10-12
736,73208,Customer changed mind,2021-10-08
737,89817,Customer changed mind,2021-09-12
738,39868,Wrong item,2020-08-24
739,58487,Customer changed mind,2020-09-14
740,55970,Damaged,2023-03-01
741,79382,Customer changed mind,2023-07-18
742,64211,Damaged,2020-05-05
743,39734,Wrong item,2023-10-10
744,90841,Damaged,2081-10-11
745,89695,Damaged,2021-08-06
746,70919,Damaged,2021-06-07
747,57780,Wrong item,2023-03-05
748,68086,Wrong item,2023-03-26
749,59124,Wrong item,2020-10-14
750,94218,Wrong item,2020-07-17
751,87906,Customer changed mind,2033-07-28
752,26534,Damaged,2022-07-16
753,72336,Customer changed mind,2021-08-02
754,26673,Customer changed mind,2022-01-29
755,36688,Wrong item,2020-06-04
756,92785,Customer changed mind,2022-03-30
757,51862,Customer changed mind,2023-12-19
758,40854,Wrong item,2022-09-26
759,63921,Wrong item,2023-04-24
760,34954,Customer changed mind,2020-06-08
761,99074,Customer changed mind,2021-04-27
