feedback_id,customer_id,store_id,product_id,rating,comments,feedback_date
127,821,3,269,1,Poor quality,2021-08-28
128,46,18,207,4,Will buy again,2088-07-09
129,990,11,494,5,Will buy again,2023-09-18
130,883,15,195,2,Poor quality,2023-10-27
131,369,10,478,3,Too expensive,2023-04-15
132,620,1,451,1,Great!,2074-08-09
133,894,5,68,5,Poor quality,2022-11-07
134,883,2,341,1,Will buy again,2021-08-22
135,11,18,471,3,Great!,2023-07-28
136,23,2,314,bad,Will buy again,2022-12-13
137,253,7,151,2,Will buy again,2021-09-22
138,244,4,224,4,Will buy again,2021-09-08
139,658,9,73,5,Poor quality,2020-03-07
140,149,6,104,5,Will buy again,2020-11-13
141,264,5,210,3,Will buy again,2022-09-24
142,434,14,425,1,Great!,2023-01-20
143,594,19,145,5,Poor quality,2022-01-18
144,578,1,255,4,Poor quality,2021-03-18
145,878,3,233,2,Great!,2036-04-15
146,251,17,194,5,Great!,2020-03-20
147,845,4,112,2,Will buy again,2038-03-12
148,431,17,285,1,Poor quality,2020-05-16
149,335,9,364,bad,Will buy again,2021-06-19
150,765,4,193,4,Too expensive,2065-10-18
151,457,8,54,2,Poor quality,2020-06-25
152,406,3,313,2,Great!,2020-08-17
153,775,1,409,5,Too expensive,2021-11-01
154,549,20,235,2,Great!,2020-04-18
155,951,18,350,2,Poor quality,2020-05-01
156,81,1,107,4,Will buy again,2022-10-14
157,369,8,200,1,Great!,2023-11-13
158,824,15,252,1,Great!,2023-03-20
159,976,9,187,3,Great!,2020-04-10
160,547,18,7,3,Will buy again,2020-03-14
161,938,6,69,4,Will buy again,2020-06-01
162,924,17,239,4,Too expensive,2023-07-20
163,824,16,309,5,Great!,2021-06-09
164,286,3,324,bad,Will buy again,2074-08-07
165,625,6,186,1,Poor quality,2023-04-26
166,655,8,422,3,Great!,2020-12-09
167,759,7,299,4,Poor quality,2052-00-24
168,747,13,141,1,Poor quality,2022-11-21
169,969,8,464,bad,Great!,2020-06-25
170,218,2,495,bad,Great!,2094-09-24
171,472,20,126,bad,Will buy again,2047-03-18
172,660,8,45,2,Poor quality,2020-12-27
173,206,6,471,5,Poor quality,2020-12-25
174,325,18,455,bad,Poor quality,2023-12-04
175,315,15,363,1,Great!,2022-05-06
176,759,14,490,4,Poor quality,2023-04-16
177,795,12,343,1,Poor quality,2020-05-30
178,133,5,417,5,Great!,2022-08-04
179,655,19,397,1,Great!,2023-08-01
180,714,7,262,1,Great!,2023-12-03
181,929,19,94,bad,Will buy again,2022-11-08
182,892,7,482,3,Too expensive,2096-04-01
183,134,14,275,bad,Will buy again,2020-10-11
184,295,10,323,5,Too expensive,2022-01-14
185,94,3,224,3,Great!,2021-02-17
186,346,4,425,bad,Too expensive,2022-05-28
187,504,4,9,5,Great!,2021-01-29
188,746,20,495,bad,Poor quality,2022-01-10
189,642,1,83,4,Too expensive,2022-10-05
190,819,19,154,2,Poor quality,2021-06-13
191,627,1,340,1,Will buy again,2021-05-31
192,536,15,379,2,Great!,2021-08-30
193,507,6,332,4,Too expensive,2020-03-13
194,557,9,20,2,Will buy again,2023-03-03
195,75,6,357,1,Poor quality,2041-07-07
196,694,14,402,5,Too expensive,2023-08-06
197,804,5,363,bad,Poor quality,2021-10-31
198,35,3,19,1,Great!,2021-06-05
199,252,10,60,3,Great!,2021-05-04
200,211,19,357,1,Will buy again,2020-08-15
201,193,11,56,bad,Too expensive,2020-10-24
202,362,5,385,4,Will buy again,2021-11-12
203,705,18,22,bad,Will buy again,2020-10-23
204,369,14,387,4,Will buy again,2020-10-01
205,508,10,283,5,Will buy again,2022-12-21
206,467,10,488,3,Poor quality,2021-05-25
207,685,5,177,1,Poor quality,2022-03-13
208,819,4,30,5,Will buy again,2022-09-28
209,383,18,452,3,Will buy again,2021-05-26
210,744,8,308,bad,Will buy again,2021-09-11
211,33,4,379,1,Great!,2023-08-29
212,310,20,421,bad,Poor quality,2021-12-31
213,383,8,63,2,Poor quality,2020-07-17
214,859,17,174,3,Too expensive,2021-09-20
215,404,9,149,4,Too expensive,2021-05-19
216,344,15,372,1,Great!,2022-05-17
217,254,10,341,5,Will buy again,2021-10-05
218,256,17,53,1,Poor quality,2020-12-17
219,639,18,57,3,Too expensive,2020-05-08
220,960,16,471,4,Great!,2020-05-06
221,658,16,154,4,Great!,2020-06-25
222,87,1,421,4,Too expensive,2023-02-03
223,539,1,4,3,Great!,2045-05-09
224,637,15,74,2,Too expensive,2022-02-28
225,390,15,165,2,Too expensive,2023-05-10
226,584,3,261,bad,Great!,2022-10-27
227,293,1,164,3,Too expensive,2080-06-09
228,686,9,58,bad,Too expensive,2020-12-22
229,433,14,195,bad,Will buy again,2023-05-20
230,957,6,274,5,Will buy again,2072-00-23
231,10,1,350,5,Will buy again,2023-06-28
232,283,19,335,5,Too expensive,2023-01-24
233,79,4,59,4,Will buy again,2022-04-27
234,513,7,323,1,Will buy again,2020-08-21
235,717,12,184,4,Will buy again,2022-08-03
236,916,18,325,3,Great!,2023-05-14
237,248,5,388,3,Poor quality,2022-10-10
238,319,11,294,5,Will buy again,2021-04-10
239,611,12,365,bad,Great!,2020-04-28
240,890,4,275,4,Great!,2021-05-02
241,254,16,462,3,Will buy again,2023-04-15
242,484,6,203,4,Will buy again,2021-10-12
243,208,19,366,2,Great!,2020-04-16
244,653,18,242,1,Too expensive,2022-03-28
245,989,1,337,5,Too expensive,2021-06-10
246,920,9,467,bad,Poor quality,2020-06-05
247,775,16,6,3,Will buy again,2062-03-13
248,570,13,185,2,Great!,2023-02-03
249,215,3,499,3,Will buy again,2021-04-02
250,989,7,113,4,Too expensive,2023-06-30
251,15,11,325,3,Poor quality,2022-04-08
252,729,2,147,4,Great!,2022-11-23
253,754,10,342,1,Too expensive,2022-01-14
254,130,15,95,2,Great!,2022-12-09
255,164,16,340,1,Poor quality,2021-03-30
256,607,15,256,5,Poor quality,2022-07-12
257,304,15,443,4,Will buy again,2021-07-07
258,7,12,171,2,Will buy again,2020-07-20
259,683,18,97,bad,Will buy again,2022-11-26
260,168,8,454,4,Will buy again,2021-02-01
261,926,7,190,3,Will buy again,2020-04-22
262,902,6,156,3,Poor quality,2022-11-21
263,790,18,100,bad,Too expensive,2021-06-10
264,444,19,175,4,Too expensive,2021-11-08
265,918,18,404,4,Will buy again,2023-10-06
266,225,6,320,3,Great!,2023-03-20
267,351,19,138,bad,Too expensive,2020-12-10
268,999,7,324,4,Great!,2022-09-11
269,738,4,460,5,Poor quality,2020-06-02
270,938,19,15,5,Too expensive,2020-03-20
271,112,4,267,1,Great!,2021-10-22
272,883,11,470,bad,Will buy again,2021-01-22
273,177,17,389,3,Poor quality,2021-04-09
274,494,18,348,bad,Poor quality,2021-07-26
275,366,12,371,bad,Too expensive,2021-02-13
276,960,10,117,5,Poor quality,2023-02-04
277,122,6,363,4,Will buy again,2022-02-19
278,766,11,154,1,Poor quality,2020-03-22
279,41,14,25,3,Will buy again,2020-05-13
280,673,11,20,4,Too expensive,2021-06-05
281,418,12,402,1,Too expensive,2020-09-11
282,356,5,9,2,Great!,2022-01-18
283,311,14,493,5,Great!,2021-04-23
284,550,16,121,1,Poor quality,2020-08-28
285,814,19,14,3,Will buy again,2068-05-16
286,750,5,436,bad,Will buy again,2022-09-18
287,935,2,28,5,Will buy again,2023-01-31
288,245,15,394,1,Poor quality,2020-03-16
289,811,16,339,3,Poor quality,2043-06-27
290,576,19,37,bad,Poor quality,2020-02-18
291,686,11,461,5,Too expensive,2021-05-24
292,951,11,122,4,Poor quality,2022-02-24
293,472,7,311,bad,Great!,2022-09-05
294,587,20,484,3,Poor quality,2022-05-04
295,78,17,303,2,Will buy again,2020-12-19
296,586,6,156,bad,Too expensive,2021-08-04
297,735,13,321,1,Great!,2023-12-28
298,984,14,435,bad,Poor quality,2023-09-21
299,464,19,202,1,Great!,2023-05-28
300,831,13,265,4,Great!,2023-02-13
301,541,18,389,bad,Great!,2020-09-23
302,351,3,12,2,Too expensive,2020-02-11
303,600,11,401,1,Great!,2021-05-28
304,761,13,44,4,Great!,2023-05-01
305,900,17,136,3,Will buy again,2020-02-19
306,675,13,436,2,Too expensive,2023-02-25
307,687,19,208,1,Poor quality,2023-02-22
308,33,4,269,3,Great!,2039-09-23
309,2,2,159,3,Poor quality,2021-04-11
310,181,18,380,5,Will buy again,2022-11-05
311,327,10,282,4,Poor quality,2021-11-01
312,803,18,363,2,Will buy again,2022-01-19
313,552,6,345,1,Too expensive,2020-04-22
314,600,18,140,3,Will buy again,2020-01-05
315,980,8,275,1,Great!,2020-10-23
316,898,7,100,3,Too expensive,2021-01-09
317,156,3,316,1,Poor quality,2023-09-07
318,440,12,387,1,Will buy again,2020-11-18
319,680,20,463,bad,Will buy again,2021-05-27
320,369,15,243,bad,Poor quality,2050-07-20
321,894,12,347,3,Poor quality,2070-10-23
322,596,3,89,bad,Will buy again,2021-07-17
323,64,9,60,3,Great!,2022-02-08
324,883,9,481,4,Poor quality,2022-02-07
325,461,2,491,5,Will buy again,2086-08-19
326,55,7,397,1,Great!,2022-11-29
327,126,7,152,3,Great!,2021-09-10
328,881,14,497,2,Poor quality,2022-11-11
329,340,13,413,2,Will buy again,2020-12-27
330,91,2,283,4,Poor quality,2022-08-07
331,778,5,316,2,Will buy again,2022-01-31
332,992,18,116,4,Poor quality,2058-06-17
333,604,10,94,2,Poor quality,2099-04-17
334,821,7,353,bad,Will buy again,2021-12-12
335,873,8,328,1,Too expensive,2022-08-04
336,407,17,195,5,Will buy again,2042-01-17
337,622,12,412,5,Great!,2020-04-21
338,460,8,125,1,Poor quality,2020-01-22
339,364,12,461,4,Too expensive,2021-12-06
340,88,12,88,4,Great!,2022-06-15
341,182,20,345,3,Poor quality,2020-07-12
342,588,5,436,1,Too expensive,2023-01-23
343,596,4,402,4,Too expensive,2063-02-25
344,205,17,468,2,Poor quality,2023-10-12
345,520,7,368,2,Poor quality,2023-04-21
346,333,16,136,1,Too expensive,2023-02-28
347,612,11,65,4,Will buy again,2020-06-26
348,726,9,368,2,Too expensive,2020-03-22
349,862,1,451,3,Poor quality,2021-07-09
350,489,8,410,1,Great!,2021-11-06
351,979,11,434,1,Too expensive,2022-03-01
352,190,9,429,3,Poor quality,2023-01-13
353,817,14,423,2,Will buy again,2021-05-31
354,829,15,188,4,Too expensive,2023-01-14
355,523,12,358,5,Too expensive,2020-02-18
356,489,9,69,bad,Will buy again,2021-11-26
357,645,11,421,bad,Too expensive,2022-09-05
358,684,3,224,1,Too expensive,2022-01-01
359,262,19,92,5,Too expensive,2022-06-05
360,856,13,232,1,Poor quality,2020-09-20
361,264,4,433,4,Great!,2022-06-08
362,321,15,350,4,Too expensive,2020-08-04
363,727,18,425,5,Will buy again,2023-11-08
364,711,3,309,3,Great!,2021-12-12
365,339,18,368,1,Will buy again,2021-05-03
366,20,8,9,1,Great!,2020-07-04
367,164,1,109,3,Will buy again,2093-01-25
368,251,17,283,2,Poor quality,2023-12-16
369,832,6,96,2,Will buy again,2022-02-14
370,53,12,277,1,Will buy again,2020-03-13
371,227,19,366,4,Great!,2021-06-28
372,512,18,290,3,Will buy again,2022-06-08
373,971,19,266,1,Will buy again,2022-04-09
374,650,16,463,4,Poor quality,2021-01-29
375,35,14,140,4,Great!,2023-08-18
376,139,10,389,4,Will buy again,2081-00-01
377,943,12,369,1,Too expensive,2023-11-06
378,524,5,419,3,Great!,2023-08-31
379,338,19,110,1,Too expensive,2021-01-24
380,456,15,488,bad,Too expensive,2022-05-16
381,212,15,377,2,Will buy again,2079-08-17
382,466,17,192,2,Poor quality,2020-08-16
383,838,4,457,bad,Too expensive,2023-07-14
384,441,16,29,1,Too expensive,2023-04-28
385,745,17,156,bad,Great!,2022-04-04
386,520,11,412,4,Poor quality,2023-10-28
387,611,2,400,bad,Too expensive,2020-08-12
388,558,13,405,5,Will buy again,2023-05-20
389,643,17,348,1,Great!,2022-02-05
390,930,9,393,3,Too expensive,2043-02-23
391,329,11,221,1,Poor quality,2021-11-11
392,180,18,266,5,Poor quality,2090-01-13
393,649,5,117,2,Poor quality,2031-05-05
394,484,20,142,4,Will buy again,2020-08-12
395,323,18,489,4,Great!,2020-06-28
396,652,3,274,5,Great!,2097-01-24
397,120,6,236,5,Too expensive,2051-09-06
398,849,8,446,4,Too expensive,2021-11-16
399,974,1,22,3,Will buy again,2022-09-12
400,840,12,500,bad,Great!,2022-06-04
401,529,19,408,bad,Great!,2023-03-10
402,672,15,61,3,Too expensive,2020-10-13
403,808,18,422,2,Poor quality,2040-09-10
404,745,8,390,5,Poor quality,2021-01-20
405,927,7,161,5,Too expensive,2020-02-28
406,38,11,226,2,Will buy again,2021-03-31
407,520,2,197,bad,Poor quality,2020-06-10
408,484,7,324,1,Great!,2021-03-12
409,934,11,39,1,Too expensive,2046-08-20
410,660,17,223,2,Too expensive,2021-12-01
411,601,9,43,5,Will buy again,2021-06-09
412,572,13,152,bad,Too expensive,2020-11-26
413,120,20,152,1,Poor quality,2023-01-06
414,658,11,150,3,Great!,2020-01-10
415,844,12,448,5,Will buy again,2020-02-17
416,819,3,197,1,Poor quality,2021-11-30
417,644,2,159,5,Will buy again,2021-03-04
418,949,9,332,5,Great!,2023-03-31
419,365,7,251,5,Poor quality,2023-11-14
420,216,8,193,5,Great!,2021-03-29
421,408,15,196,4,Poor quality,2021-07-26
422,904,19,305,bad,Will buy again,2093-07-07
423,900,19,2,1,Poor quality,2034-08-11
424,530,4,439,2,Poor quality,2023-01-24
425,320,15,500,1,Poor quality,2023-04-07
426,499,6,168,1,Will buy again,2022-09-24
427,726,20,48,3,Poor quality,2022-04-07
428,92,5,365,2,Poor quality,2021-10-31
429,32,11,495,4,Will buy again,2022-04-22
430,153,8,439,2,Poor quality,2020-12-09
431,711,1,79,2,Will buy again,2055-08-04
432,334,1,9,4,Poor quality,2023-11-26
433,371,10,217,bad,Too expensive,2023-08-17
434,421,3,499,4,Great!,2022-11-06
435,674,7,48,1,Great!,2020-01-05
436,515,6,9,bad,Too expensive,2020-02-14
437,490,6,439,4,Poor quality,2021-12-05
438,536,14,22,5,Great!,2053-02-18
439,46,18,149,5,Will buy again,2021-05-03
440,422,11,148,3,Poor quality,2020-04-30
441,291,13,393,bad,Poor quality,2022-01-04
442,73,5,497,4,Poor quality,2021-07-01
443,278,6,8,2,Will buy again,2020-05-29
444,222,2,146,5,Too expensive,2022-03-16
445,656,13,229,3,Too expensive,2023-09-23
446,445,7,122,2,Poor quality,2082-00-04
447,986,18,192,5,Great!,2021-06-25
448,819,9,266,bad,Will buy again,2021-08-07
449,375,19,151,bad,Poor quality,2022-11-03
450,901,19,448,5,Too expensive,2022-06-15
451,339,6,317,4,Poor quality,2021-06-18
452,873,12,309,3,Will buy again,2023-02-02
453,58,15,359,5,Poor quality,2023-03-18
454,170,15,65,bad,Too expensive,2070-08-23
455,420,7,177,2,Will buy again,2023-08-18
456,869,13,102,2,Great!,2023-09-08
457,881,3,257,4,Poor quality,2020-07-31
458,819,20,446,4,Too expensive,2021-09-08
459,57,1,383,1,Will buy again,2058-01-20
460,360,18,65,3,Will buy again,2023-03-26
461,833,3,327,3,Will buy again,2092-04-07
462,533,4,476,4,Great!,2090-01-15
463,238,5,244,2,Will buy again,2021-04-11
464,941,18,141,bad,Great!,2023-07-07
465,674,11,283,4,Will buy again,2023-11-07
466,850,15,194,4,Too expensive,2023-09-04
467,161,3,23,1,Too expensive,2021-06-19
468,364,7,254,5,Will buy again,2020-09-13
469,50,2,333,4,Too expensive,2049-07-24
470,802,3,373,2,Poor quality,2099-03-27
471,643,15,464,1,Great!,2021-01-27
472,167,5,112,4,Will buy again,2022-09-06
473,284,17,89,5,Poor quality,2021-01-06
474,280,4,24,1,Too expensive,2023-06-05
475,567,14,16,4,Great!,2021-04-02
476,589,18,163,2,Will buy again,2023-11-19
477,594,20,425,3,Will buy again,2023-04-13
478,957,11,464,bad,Will buy again,2021-02-10
479,786,19,119,5,Too expensive,2020-08-07
480,535,3,183,5,Will buy again,2020-06-22
481,243,14,382,1,Too expensive,2022-05-06
482,598,7,350,5,Will buy again,2023-04-15
483,878,13,88,bad,Poor quality,2023-09-28
484,516,17,353,2,Great!,2021-05-09
485,931,1,323,4,Poor quality,2023-01-23
486,941,7,58,bad,Great!,2022-01-29
487,771,4,56,2,Great!,2021-10-12
488,639,19,198,5,Poor quality,2022-02-07
489,596,4,499,3,Will buy again,2023-03-25
490,971,17,137,1,Will buy again,2023-02-20
491,611,4,479,3,Too expensive,2068-03-25
492,544,2,490,5,Great!,2021-10-17
493,909,4,347,1,Will buy again,2020-11-10
494,896,9,244,5,Poor quality,2023-04-26
495,598,10,253,5,Will buy again,2023-11-30
496,8,3,65,3,Poor quality,2020-04-24
497,671,15,406,1,Great!,2023-09-21
498,784,18,208,4,Great!,2022-03-12
499,194,17,377,2,Poor quality,2069-05-22
500,718,10,24,1,Poor quality,2022-12-20
501,553,18,419,3,Poor quality,2020-11-07
502,377,14,3,5,Will buy again,2023-03-03
503,224,4,11,5,Too expensive,2021-01-19
504,598,15,334,2,Too expensive,2023-10-07
505,433,19,43,1,Too expensive,2023-06-01
506,820,11,123,1,Will buy again,2021-03-07
507,225,3,125,2,Will buy again,2022-05-26
508,467,15,186,3,Great!,2021-10-15
509,513,18,386,4,Poor quality,2021-10-20
510,172,9,264,bad,Too expensive,2020-09-24
511,626,13,262,1,Too expensive,2020-08-31
512,777,17,343,5,Great!,2021-01-06
513,60,14,318,4,Poor quality,2042-09-22
514,962,11,346,bad,Great!,2040-01-04
515,940,16,117,4,Will buy again,2023-03-20
516,732,10,458,2,Poor quality,2022-11-11
517,481,20,48,5,Will buy again,2021-11-27
518,357,1,262,5,Too expensive,2021-09-22
519,107,18,73,2,Great!,2022-08-22
520,648,10,425,3,Great!,2021-11-01
521,617,14,214,1,Great!,2020-12-23
522,714,18,50,4,Poor quality,2021-03-15
523,346,11,279,4,Will buy again,2020-10-27
524,265,16,323,4,Poor quality,2023-02-18
525,518,3,402,4,Will buy again,2021-08-10
526,887,5,454,4,Great!,2021-10-18
527,711,4,318,bad,Will buy again,2020-10-05
528,640,17,76,3,Will buy again,2020-12-09
529,912,17,47,bad,Great!,2023-04-28
530,735,2,405,4,Great!,2046-09-13
531,269,11,334,1,Great!,2023-06-17
532,890,19,166,2,Great!,2022-03-07
533,863,13,133,3,Poor quality,2023-10-26
534,712,3,452,1,Poor quality,2021-12-13
535,242,10,74,4,Too expensive,2021-05-28
536,230,4,137,5,Will buy again,2022-10-04
537,792,2,122,2,Too expensive,2020-02-21
538,455,9,24,1,Poor quality,2023-04-21
539,583,13,279,bad,Will buy again,2022-05-13
540,300,2,23,3,Too expensive,2022-07-21
541,915,14,489,bad,Poor quality,2021-02-13
542,89,10,149,4,Will buy again,2020-09-24
543,766,10,354,3,Too expensive,2023-09-24
544,524,3,163,1,Will buy again,2021-08-31
545,881,16,23,3,Great!,2021-08-30
546,198,1,328,4,Poor quality,2023-10-20
547,589,3,12,bad,Will buy again,2020-03-06
548,357,11,316,2,Will buy again,2020-11-05
549,347,20,40,3,Too expensive,2022-06-03
550,46,12,436,3,Great!,2022-03-21
551,75,7,280,5,Poor quality,2021-03-10
552,797,16,45,2,Great!,2023-09-15
553,778,15,216,3,Great!,2022-05-20
554,87,19,488,2,Too expensive,2023-09-24
555,544,4,26,bad,Will buy again,2022-06-30
556,294,10,307,4,Poor quality,2022-09-29
557,908,18,285,5,Too expensive,2022-08-08
558,326,16,282,bad,Too expensive,2022-08-09
559,768,5,457,bad,Too expensive,2023-10-23
560,805,17,232,2,Poor quality,2023-08-24
561,530,17,36,3,Too expensive,2022-04-01
562,89,1,9,3,Great!,2023-09-03
563,449,16,3,5,Great!,2023-05-01
564,537,15,152,3,Poor quality,2020-01-12
565,601,11,134,bad,Will buy again,2020-11-28
566,450,4,456,4,Poor quality,2094-10-09
567,554,18,224,2,Will buy again,2021-05-01
568,55,9,493,5,Poor quality,2021-09-29
569,148,10,39,5,Great!,2020-11-29
570,459,9,443,3,Poor quality,2082-03-11
571,945,2,184,4,Poor quality,2022-10-02
572,842,16,472,4,Will buy again,2023-07-22
573,439,18,173,3,Will buy again,2021-06-02
574,592,7,436,2,Poor quality,2023-07-09
575,599,16,447,4,Too expensive,2023-07-31
576,652,18,418,5,Poor quality,2021-06-30
577,454,18,30,bad,Too expensive,2021-12-27
578,529,1,257,2,Great!,2023-04-30
579,695,9,117,2,Will buy again,2022-06-02
580,5,16,161,bad,Great!,2021-07-30
581,492,5,237,5,Great!,2021-03-17
582,128,5,90,3,Will buy again,2051-01-19
583,268,1,217,3,Will buy again,2023-09-17
584,142,18,57,5,Poor quality,2023-07-28
585,547,9,345,2,Will buy again,2021-04-16
586,359,11,149,3,Poor quality,2023-01-09
587,585,16,319,2,Too expensive,2022-09-08
588,34,16,420,4,Will buy again,2023-05-12
589,980,12,119,3,Poor quality,2022-10-15
590,757,3,331,2,Great!,2022-09-22
591,732,19,136,5,Too expensive,2020-10-30
592,570,13,237,bad,Poor quality,2021-05-03
593,632,3,169,3,Too expensive,2086-10-11
594,337,4,470,bad,Great!,2021-06-25
595,752,20,110,2,Poor quality,2021-07-20
596,876,11,73,2,Poor quality,2020-04-11
597,103,20,331,4,Too expensive,2020-09-18
598,797,3,366,5,Great!,2022-12-06
599,224,18,390,3,Will buy again,2020-12-20
600,733,19,491,1,Poor quality,2034-01-09
601,636,4,332,5,Poor quality,2020-05-10
602,381,8,314,1,Poor quality,2023-05-19
603,839,11,341,3,Too expensive,2021-06-30
604,262,15,17,2,Great!,2023-12-31
605,532,3,210,5,Too expensive,2021-03-08
606,21,16,225,3,Poor quality,2023-09-02
607,510,10,452,bad,Poor quality,2023-09-26
608,586,12,142,1,Will buy again,2021-05-05
609,953,4,258,1,Great!,2021-07-04
610,978,16,249,bad,Too expensive,2020-07-03
611,736,15,20,1,Great!,2023-10-07
612,84,20,458,3,Great!,2021-07-16
613,137,6,208,bad,Great!,2021-02-09
614,568,6,303,3,Great!,2021-07-10
615,54,1,193,3,Too expensive,2021-04-30
