movement_id,product_id,store_id,movement_type,quantity,movement_date
389,422,10,IN,92,2023-04-05
390,428,15,IN,36,2021-07-15
391,315,18,TRANSFER,94,2020-12-11
392,456,19,OUT,unknown,2023-07-13
393,192,1,IN,9,2022-11-23
394,262,2,IN,86,2021-08-19
395,248,12,TRANSFER,57,2020-11-28
396,291,6,OUT,30,2023-05-29
397,164,4,TRANSFER,2,2021-12-05
398,442,9,OUT,56,2021-08-31
399,187,13,OUT,unknown,2020-04-16
400,274,13,OUT,14,2023-01-23
401,259,16,OUT,99,2021-02-07
402,230,10,IN,58,2023-10-25
403,138,9,IN,94,2022-01-03
404,115,19,IN,43,2022-10-27
405,284,1,TRANSFER,67,2020-10-23
406,426,9,IN,43,2023-08-11
407,289,10,OUT,70,2020-12-02
408,296,2,OUT,58,2021-11-16
409,26,2,OUT,unknown,2021-04-26
410,220,17,TRANSFER,41,2022-04-11
411,77,14,IN,unknown,2023-01-01
412,128,19,TRANSFER,32,2021-09-20
413,449,9,IN,34,2020-11-16
414,445,2,TRANSFER,88,2021-02-08
415,211,7,IN,unknown,2021-04-07
416,52,8,OUT,61,2021-10-18
417,111,9,OUT,80,2023-08-10
418,258,9,OUT,unknown,2022-08-22
419,108,9,IN,8,2023-01-10
420,103,6,TRANSFER,69,2021-02-03
421,440,16,IN,unknown,2023-10-14
422,373,19,IN,84,2020-09-16
423,495,15,OUT,27,2021-09-27
424,189,10,TRANSFER,31,2020-06-27
425,293,20,OUT,49,2020-03-05
426,231,1,TRANSFER,88,2073-02-16
427,99,14,OUT,78,2021-10-04
428,365,5,IN,54,2022-01-06
429,131,15,IN,67,2020-04-02
430,183,7,TRANSFER,48,2023-05-16
431,206,8,IN,48,2021-02-15
432,87,17,OUT,94,2022-05-03
433,309,20,TRANSFER,24,2020-10-01
434,324,9,OUT,60,2020-06-12
435,492,10,OUT,36,2021-10-30
436,31,14,TRANSFER,79,2020-02-13
437,53,17,IN,28,2020-01-09
438,290,13,OUT,27,2023-06-24
439,342,7,OUT,90,2023-01-04
440,32,5,OUT,52,2021-12-22
441,77,11,IN,69,2087-08-28
442,56,8,TRANSFER,16,2065-00-11
443,58,16,TRANSFER,6,2022-02-28
444,28,8,TRANSFER,60,2021-08-08
445,97,17,OUT,55,2020-04-30
446,457,7,OUT,86,2020-04-23
447,438,18,IN,89,2021-11-02
448,44,8,OUT,30,2023-01-13
449,442,4,OUT,37,2020-06-11
450,482,18,TRANSFER,61,2021-10-04
451,448,18,IN,65,2022-09-17
452,383,15,TRANSFER,10,2022-01-18
453,14,2,IN,63,2021-02-27
454,35,5,TRANSFER,unknown,2020-12-06
455,153,13,TRANSFER,64,2021-04-30
456,310,3,OUT,70,2022-04-12
457,340,3,TRANSFER,66,2020-08-10
458,316,10,OUT,68,2020-05-11
459,130,20,IN,100,2020-10-26
460,377,20,IN,86,2020-11-11
461,423,14,IN,73,2023-04-29
462,58,17,IN,19,2021-01-22
463,485,13,OUT,98,2090-02-11
464,492,16,IN,53,2022-11-06
465,79,14,OUT,18,2023-10-10
466,257,19,TRANSFER,13,2022-08-14
467,238,4,OUT,2,2023-03-10
468,277,20,TRANSFER,22,2021-07-23
469,458,19,OUT,unknown,2023-02-16
470,107,4,IN,6,2020-12-23
471,18,13,IN,22,2023-01-13
472,92,3,IN,28,2023-10-17
473,58,7,OUT,49,2020-06-05
474,78,3,IN,94,2020-03-22
475,58,2,OUT,51,2048-02-07
476,230,6,TRANSFER,55,2022-07-19
477,102,8,IN,75,2021-03-16
478,222,4,TRANSFER,81,2022-03-04
479,434,8,TRANSFER,80,2020-12-03
480,452,3,IN,88,2021-08-04
481,458,15,OUT,33,2021-12-23
482,225,15,IN,54,2023-03-22
483,327,13,IN,93,2023-11-23
484,375,9,OUT,10,2031-10-04
485,135,5,TRANSFER,78,2021-03-10
486,159,9,OUT,73,2022-09-12
487,159,8,IN,unknown,2021-09-30
488,129,8,IN,91,2034-07-04
489,479,10,IN,5,2022-11-19
490,101,4,IN,87,2022-11-29
491,102,10,TRANSFER,53,2023-03-11
492,160,11,OUT,65,2020-06-30
493,291,11,TRANSFER,46,2020-12-01
494,154,14,IN,68,2021-12-29
495,403,7,TRANSFER,37,2020-08-16
496,89,19,TRANSFER,76,2020-08-17
497,160,8,TRANSFER,4,2021-09-29
498,145,14,OUT,1,2032-08-02
499,135,16,OUT,26,2023-09-29
500,42,7,OUT,61,2020-07-09
501,420,15,IN,12,2021-07-16
502,416,5,OUT,28,2022-06-30
503,30,14,IN,53,2055-05-24
504,468,13,OUT,44,2023-08-14
505,445,6,IN,73,2023-03-25
506,415,10,TRANSFER,87,2023-08-31
507,173,13,TRANSFER,90,2022-04-08
508,471,7,TRANSFER,73,2095-05-22
509,473,15,IN,84,2023-08-17
510,308,18,IN,69,2021-03-11
511,322,7,IN,21,2023-03-17
512,71,19,IN,60,2022-05-01
513,316,11,TRANSFER,68,2020-01-31
514,401,12,TRANSFER,53,2020-10-25
515,214,1,IN,35,2022-07-04
516,113,4,OUT,31,2022-02-03
517,303,3,OUT,34,2021-09-08
518,66,3,TRANSFER,85,2080-03-17
519,37,9,IN,unknown,2023-06-15
520,325,12,OUT,13,2020-10-15
521,186,4,IN,6,2080-05-16
522,82,2,IN,31,2023-06-25
523,263,9,OUT,18,2021-06-26
524,286,14,OUT,5,2020-10-01
525,338,2,OUT,82,2022-02-20
526,342,12,OUT,73,2021-04-22
527,457,1,OUT,59,2021-12-04
528,314,16,TRANSFER,41,2022-04-29
529,360,15,OUT,33,2022-01-01
530,67,15,IN,43,2021-10-18
531,339,18,OUT,82,2023-03-11
532,459,15,OUT,96,2021-08-07
533,396,15,TRANSFER,77,2021-02-09
534,453,9,TRANSFER,97,2022-02-13
535,397,11,OUT,69,2023-12-13
536,472,18,IN,73,2022-12-26
537,304,20,OUT,5,2042-04-11
538,396,14,OUT,80,2021-02-09
539,168,12,TRANSFER,92,2022-05-08
540,135,19,TRANSFER,94,2023-02-12
541,346,1,OUT,44,2020-07-17
542,397,19,TRANSFER,46,2022-02-17
543,162,13,TRANSFER,86,2023-05-11
544,245,19,OUT,98,2022-04-25
545,113,9,TRANSFER,68,2096-03-02
546,359,12,TRANSFER,unknown,2023-10-30
547,305,20,OUT,31,2020-08-22
548,96,2,TRANSFER,18,2022-07-15
549,100,10,TRANSFER,11,2021-01-16
550,458,12,OUT,unknown,2020-10-25
551,392,5,TRANSFER,21,2020-02-07
552,82,1,TRANSFER,5,2022-04-02
553,39,9,OUT,50,2020-03-29
554,135,20,IN,53,2039-08-21
555,475,5,IN,67,2083-00-06
556,246,9,OUT,unknown,2022-04-20
557,290,12,TRANSFER,44,2020-09-01
558,16,13,OUT,87,2021-04-02
559,294,4,OUT,1,2020-06-04
560,234,6,TRANSFER,8,2023-01-23
561,170,1,IN,unknown,2022-07-16
562,205,7,IN,unknown,2022-05-01
563,193,13,IN,57,2022-03-20
564,185,13,OUT,65,2034-05-06
565,233,4,TRANSFER,unknown,2022-09-05
566,445,12,IN,20,2023-10-30
567,168,7,IN,50,2020-10-28
568,403,14,IN,68,2021-07-14
569,456,6,OUT,unknown,2020-08-25
570,387,20,TRANSFER,17,2022-04-01
571,179,7,TRANSFER,77,2020-06-11
572,189,16,TRANSFER,87,2022-07-10
573,303,11,IN,89,2020-10-20
574,31,7,TRANSFER,43,2021-03-02
575,319,8,OUT,44,2020-12-28
576,143,6,OUT,96,2021-04-20
577,165,19,IN,75,2023-08-05
578,286,13,TRANSFER,57,2020-09-04
579,343,14,TRANSFER,39,2023-08-23
580,202,7,IN,unknown,2020-04-17
581,325,4,OUT,47,2023-06-18
582,294,15,IN,7,2020-03-12
583,408,7,IN,61,2023-10-01
584,294,13,IN,38,2021-07-16
585,414,10,TRANSFER,25,2020-06-16
586,169,13,IN,36,2023-07-25
587,348,15,OUT,18,2023-01-25
588,18,10,TRANSFER,15,2022-10-27
589,126,9,IN,59,2022-03-06
590,257,8,OUT,6,2022-05-21
591,236,8,TRANSFER,33,2022-12-27
592,355,7,IN,84,2022-12-20
593,311,9,IN,27,2021-12-26
594,46,9,IN,55,2021-04-20
595,99,10,OUT,69,2021-11-04
596,364,13,TRANSFER,77,2070-02-11
597,400,16,TRANSFER,66,2022-06-18
598,473,13,IN,46,2068-10-22
599,310,1,OUT,43,2022-12-20
600,128,3,IN,72,2020-06-22
601,122,12,OUT,65,2020-06-04
602,281,8,TRANSFER,100,2023-04-28
603,159,12,TRANSFER,20,2021-06-08
604,497,9,TRANSFER,49,2060-02-08
605,203,3,TRANSFER,95,2022-05-21
606,121,12,IN,unknown,2022-08-09
607,211,12,TRANSFER,100,2022-08-27
608,274,20,TRANSFER,52,2021-01-05
609,433,9,IN,58,2020-10-08
610,95,2,TRANSFER,6,2021-10-23
611,331,2,TRANSFER,55,2023-08-05
612,189,5,TRANSFER,38,2022-03-26
613,243,13,TRANSFER,2,2020-05-06
614,159,14,OUT,75,2022-10-31
615,410,6,IN,89,2020-12-10
616,9,3,TRANSFER,10,2022-12-06
617,362,12,OUT,unknown,2023-06-13
618,444,16,TRANSFER,unknown,2023-07-22
619,497,2,IN,47,2023-10-10
620,484,14,TRANSFER,33,2023-07-03
621,140,2,OUT,8,2023-10-16
622,357,5,TRANSFER,44,2022-08-23
623,24,5,IN,2,2022-05-08
624,398,18,IN,11,2020-12-09
625,219,15,IN,unknown,2021-11-06
626,27,4,OUT,78,2021-09-20
627,362,4,TRANSFER,unknown,2022-12-23
628,288,11,IN,72,2078-02-24
629,108,5,IN,35,2023-05-07
630,393,10,TRANSFER,unknown,2021-12-05
631,139,9,TRANSFER,55,2021-01-16
632,138,12,IN,78,2043-02-27
633,308,3,OUT,19,2066-05-08
634,272,19,TRANSFER,67,2094-00-28
635,308,4,TRANSFER,90,2023-09-05
636,490,16,TRANSFER,52,2023-09-16
637,6,20,OUT,80,2080-00-12
638,409,13,TRANSFER,77,2022-03-13
639,238,2,IN,7,2022-07-25
640,288,6,IN,65,2023-10-06
641,279,4,OUT,48,2023-02-02
642,18,7,OUT,51,2023-06-04
643,265,13,TRANSFER,48,2020-10-08
644,11,5,TRANSFER,90,2020-03-03
645,127,19,TRANSFER,18,2023-07-08
646,106,7,OUT,58,2021-05-15
647,355,4,OUT,80,2022-12-06
648,261,18,IN,unknown,2021-03-12
649,262,2,OUT,77,2020-09-11
650,42,2,OUT,unknown,2022-04-06
651,58,1,TRANSFER,9,2020-08-18
652,112,6,TRANSFER,31,2065-05-25
653,83,12,IN,98,2021-07-30
654,449,13,TRANSFER,unknown,2023-05-04
655,246,3,TRANSFER,81,2020-09-08
656,51,4,OUT,57,2023-08-06
657,25,2,TRANSFER,63,2023-10-31
658,452,3,OUT,14,2096-01-24
659,451,2,TRANSFER,unknown,2021-05-14
660,382,18,IN,75,2021-10-16
661,443,13,OUT,95,2023-02-28
662,470,20,IN,24,2066-03-17
663,134,10,IN,unknown,2022-03-25
664,96,16,TRANSFER,95,2022-01-06
665,13,5,OUT,32,2022-07-20
666,379,8,IN,88,2021-08-19
667,324,13,IN,42,2088-06-17
668,28,7,IN,unknown,2059-01-09
669,382,13,IN,35,2020-02-18
670,170,8,IN,99,2021-12-04
671,19,7,OUT,82,2022-10-06
672,263,14,OUT,87,2022-02-28
673,339,9,OUT,58,2023-12-26
674,425,1,IN,unknown,2023-08-15
675,285,5,IN,93,2022-08-15
676,239,19,IN,31,2022-12-22
677,71,6,TRANSFER,42,2020-09-01
678,347,10,OUT,unknown,2020-04-20
679,496,10,OUT,55,2022-04-17
680,181,17,OUT,45,2022-07-09
681,441,16,OUT,unknown,2021-02-10
682,397,5,OUT,90,2023-08-05
683,35,15,TRANSFER,29,2021-09-23
684,481,9,IN,98,2022-09-07
685,400,17,TRANSFER,13,2020-01-10
686,92,19,TRANSFER,11,2020-02-09
687,135,6,IN,31,2022-01-19
688,417,14,IN,20,2020-01-13
689,108,10,TRANSFER,10,2023-11-12
690,117,20,OUT,73,2021-11-11
691,24,6,OUT,63,2022-12-13
692,71,9,IN,89,2023-03-14
693,259,16,TRANSFER,92,2023-05-13
694,202,11,IN,unknown,2020-01-26
695,500,20,TRANSFER,unknown,2022-01-18
696,477,13,IN,17,2020-07-19
697,386,11,TRANSFER,95,2021-04-12
698,486,8,OUT,29,2022-07-25
699,24,16,TRANSFER,62,2065-07-08
